,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
71,5-Sep-26,,1645,T7ARES,GLEX,,,1,D55,C1,,,,1,,,,ZAR,WAF,,,1,,,,,ZAR,,25239,,
72,5-Sep-26,,1710,N988NW,FA7X,1,,,C62,AG13,1,,,,,,,KAM,KAT,SAZ,ZAR,,,1,,,ZAR,,PAS,,
73,6-Sep-26,,0720,N11UB,GLEX,,,1,AG6,D51,,,,,,,,,,,,,,,1,,ZAR,TOWED BY BAS,25209,,
74,6-Sep-26,,1550,VPCTL,G650,1,,,C62,CMP11,1,,,,,,,SUK,ZAR,RAF,JOE,1,,,,1,ZAR,,25246,,
75,6-Sep-26,,1620,N919PE,G650,1,,,D2,D51,,,,,,,1,ZAR,JAV,,,1,,,,,ZAR,,25163,,
76,6-Sep-26,,2105,A7CGA,G650,,,1,D50,AG13,,,,,,,1,KAM,KAT,ZAR,JAV,,,1,,,ZAR,AOG,WOA,,
77,7-Sep-26,,0910,VNA298,G650,1,,,AG11,GRE,,,,,,,1,SUK,FOO,CHI,RON,,,1,,,SUK,,25029,,
78,7-Sep-26,,1045,A7CGA,G650,,,1,AG13,C3,,1,,,,,,KAM,MUS,WEI,GAB,,,1,,,SUK,,WOA,,
79,7-Sep-26,,1055,VNA298,G650,,,1,GRE,AG11,,,,,,,1,SUK,FOO,CHI,RON,,,1,,1,SUK,,25029,,
80,7-Sep-26,,1120,T7808,G650,,,1,D52,Z5,,1,,,,,,KAM,MUS,KAT,JOE,1,,,,1,SUK,,25250,,
81,7-Sep-26,,1610,T7MGM,G450,1,,,AG13,GRE,,1,,,,,,KAM,MUS,WEI,CHIN,,,1,,,SUK,,PAS,,
82,7-Sep-26,,1625,T7VIC,GA8C,1,,,Z4,D1,,,,,,,1,SUK,MUS,KAT,HDT,,1,,,1,SUK,,WOA,,
83,7-Sep-26,,1645,T7VIC,GA8C,1,,,D1,Z4,,,,,,,1,SUK,MUS,KAT,HDT,,1,,,1,SUK,,WOA,,
